"vp","age","sex","study","semester","trials","percent_valid","percent_correct","m_overall","m_co0","m_co1","m_dif_overall","m_co0cu1","m_co0cu3","m_co1cu1","m_co1cu3","m_dif_cu1","m_dif_cu3","m_co0p26","m_co0p37","m_co0p61","m_co1p26","m_co1p37","m_co1p61","m_dif_cu1_26","m_dif_cu1_37","m_dif_cu1_61","m_co0pc1","m_co0pc2","m_co0pc3","m_co0pc4","m_co0pc5","m_co0pc6","m_co1pc1","m_co1pc2","m_co1pc3","m_co1pc4","m_co1pc5","m_co1pc6","m_dif_cu3_pc1","m_dif_cu3_pc2","m_dif_cu3_pc3","m_dif_cu3_pc4","m_dif_cu3_pc5","m_dif_cu3_pc6","aqk1","aqk2","aqk3","aqk4","aqk5","aqk6","aqk7","aqk8","aqk9","aqk10","aqk11","aqk12","aqk13","aqk14","aqk15","aqk16","aqk17","aqk18","aqk19","aqk20","aqk21","aqk22","aqk23","aqk24","aqk25","aqk26","aqk27","aqk28","aqk29","aqk30","aqk31","aqk32","aqk33","aq_social","aq_imagination","aq_communication","aq_sumscore","siasd1","siasd2","siasd3","siasd4","siasd5","siasd6","siasd7","siasd8","siasd9","siasd10","siasd11","siasd12","siasd13","siasd14","siasd15","siasd16","siasd17","siasd18","siasd19","siasd20","sias","fze1","fze2","p26a","p26v","p61a","p61v","p37a","p37v","research","strategy","Bemerkung"
"32",22,1,"1",5,384,97.4,88.3,495.952,507.73,497.394,-10.336,506.506,509.012,495.258,499.895,-11.248,-9.11700000000002,511,519.148,498.033,490.16,491.957,515.107,-20.84,-27.191,17.074,520.067,528,516.5,490.188,483.6,503.786,489.438,508.533,497.133,506.867,505.067,460.231,-30.629,-19.467,-19.367,16.679,21.467,-43.555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,1,2,11,4,3,3,4,3,2,4,4,"Blickrichtung der Frauen auf den Fotos als Hinweisreiz wo der Buchstabe auftauchen wird","0",""
"33",20,1,"1",2,384,96.4,82,513.465,520.932,526.482,5.54999999999995,495.155,545.013,520.824,532.277,25.669,-12.736,539.68,514.074,585.375,550.828,535.962,509.643,11.148,21.888,-75.732,509.455,512.091,500.214,543.2,472.538,445.083,538.846,512.429,561.2,525.308,486.143,502.375,29.391,0.337999999999965,60.986,-17.8920000000001,13.605,57.292,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,4,6,10,2,1,3,2,2,1,1,3,4,0,2,2,2,1,1,1,1,2,2,2,35,2,3,3,2,3,4,4,3,"0","0",""
"34",23,1,"1",5,384,98.4,96.9,518.098,519.459,516.92,-2.53899999999999,516.226,522.728,510.43,523.34,-5.79599999999999,0.61200000000008,523.4,512.467,531.719,530.719,512.156,527.4,7.31900000000007,-0.311000000000035,-4.31900000000007,557.4,508.75,496.733,507.8,502.562,524.938,455.625,545.688,524.867,496.312,504.933,537.4,-101.775,36.938,28.134,-11.488,2.37099999999998,12.462,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,6,5,3,14,1,0,2,0,3,0,1,1,3,1,4,0,0,2,3,0,0,0,2,1,24,5,4,3,2,3,4,3,2,"Zusammenhang zw der Fähigkeit zur Aufmerksamkeitsverlagerung & der Blickrichtung des Gegenüber","versucht, die Bilder zu ignorieren/auszublenden",""
"35",19,1,"1",2,384,98.4,96.9,546.386,552.44,543.176,-9.26400000000001,550.258,554.67,533.707,552.25,-16.551,-2.41999999999996,530.903,583.036,552.875,550.625,562.281,543.844,19.722,-20.755,-9.03099999999995,523.2,543.2,551.5,591.812,558.933,531.312,570.5,495.4,509.312,572.733,532.688,519.929,47.3,-47.8000000000001,-42.188,-19.0790000000001,-26.245,-11.383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,0,1,15,3,3,4,5,3,2,3,5,"ob sich die Reaktionzeit verändert, je nachdem ob 1 Gesicht/3 Gesichter den Ort des Zielobjekts anzeigen, evtl spielt es eine Rolle wohin die Personen schauen, wie Vertrautheit und Attraktivität zusammenhängen?","0",""
"36",24,1,"1",6,384,94.8,82,564.75,564.901,572.988,8.0870000000001,561.859,568.108,571.025,574.927,9.16599999999994,6.81900000000007,566.286,588.417,548.273,554.111,571.333,598.464,-12.175,-17.0840000000001,50.191,573.909,566,577.643,562,518.533,585.1,557.231,548.214,565.643,635.5,563.929,551.917,-16.678,-17.7859999999999,-12,73.5,45.396,-33.183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,5,1,0,0,1,1,0,0,0,1,1,2,1,1,1,1,0,1,1,2,1,16,2,1,5,3,4,3,4,3,"soziale Aufmerksamkeit","0",""
"37",26,1,"1",8,384,97.9,91.4,555.79,561.273,556.251,-5.02200000000005,556.8,565.953,535.976,575.4,-20.824,9.447,566.321,580.276,551.276,580.103,580.267,566.29,13.7819999999999,-0.00899999999990087,15.014,569.25,560.8,570.875,536.786,524,573.8,546.812,481.8,576.083,506.6,551.357,565.462,-22.438,-78.9999999999999,5.20799999999997,-30.1859999999999,27.357,-8.33799999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,1,0,1,0,1,0,0,0,2,0,2,1,1,1,0,1,0,0,0,1,12,2,3,3,1,3,1,3,3,"Reaktionszeit bei Hinweisreizen, ob Blickrichtung der gezeigten Personen hilft schneller zu reagieren","0",""
"38",20,1,"1",3,384,98.2,93,520.435,534.343,516.852,-17.491,532.58,536.126,510.124,523.29,-22.456,-12.836,540.345,545.897,522.138,505.161,526.844,538.233,-35.184,-19.053,16.0949999999999,576,541.714,525,524.875,526.188,505.133,497.375,496.857,484.2,537,531.4,512.385,-78.625,-44.857,-40.8,12.125,5.21199999999999,7.25200000000001,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,1,1,3,1,2,2,0,1,3,2,4,1,0,1,1,2,0,1,2,2,30,4,2,3,2,4,2,3,3,"wie stark die Blickrichtung der Frauen auf den Fotos die Aufmerksamkeitsausrichtung beeinflusst","0",""
"39",25,1,"1",7,384,93.8,85.2,545.244,548.17,550.914,2.74400000000003,560.388,535.188,566.722,535.867,6.33399999999995,0.678999999999974,531.963,542.115,531.741,524.857,529.897,554.385,-7.10599999999999,-12.218,22.644,541.692,562.75,552.625,592.5,572.333,547.938,574.385,567,588,552.538,555.733,564.385,32.693,4.25,35.375,-39.962,-16.6,16.447,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,6,1,0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,12,3,3,5,4,4,2,4,3,"Reaktionszeiten","Alles auszublenden",""
"40",21,2,"1",4,384,97.9,88.3,526.066,534.351,527.542,-6.80899999999997,534.793,533.893,522.241,533.235,-12.552,-0.658000000000015,541.862,508.786,551.37,551.667,541.286,505.423,9.80500000000006,32.4999999999999,-45.947,543.533,531,560.154,549.214,518.375,512.875,517.786,533.6,537.857,516.571,521.4,506.6,-25.7470000000001,2.60000000000002,-22.297,-32.643,3.02499999999998,-6.27499999999998,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,5,4,5,14,3,2,2,1,3,1,1,2,1,4,4,3,2,2,4,1,1,4,4,2,47,3,3,2,2,2,3,1,1,"Die Antwortschnelligkeit im Hinblick auf die Attraktivität der Person","0",""
"41",24,1,"1",5,384,99,93.2,494.882,504.16,495.113,-9.04700000000003,492.034,515.891,477.034,512.589,-15,-3.30199999999991,511.906,525.966,510.581,518.667,516.893,503.125,6.76100000000002,-9.07299999999998,-7.45600000000002,467.071,481.733,489.533,498.333,503.2,510.667,465.846,529.4,492.6,442.467,487.533,440.429,-1.22500000000002,47.667,3.06700000000001,-55.866,-15.667,-70.238,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,6,3,2,3,1,4,1,1,1,"Blickrichtung gibt immer Hinweis auf Target","0",""
"42",22,1,"1",5,384,99.2,81.5,493.735,501.429,506.855,5.42600000000004,475.711,526.487,485.929,530.293,10.218,3.80600000000004,498.556,550.52,532.385,544.591,519.615,528.926,46.035,-30.905,-3.45899999999995,462.833,490.308,440.909,468.615,482.786,501.923,496.067,499.429,484.267,436.583,487.154,503.267,33.234,9.12099999999998,43.358,-32.032,4.36799999999999,1.34399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,1,0,2,1,1,2,1,1,1,1,1,0,18,4,3,4,5,3,4,4,3,"0","0",""
"43",21,2,"1",5,384,95.6,90.4,546.97,547.292,554.749,7.45699999999999,550.198,544.244,573.205,536.901,23.0070000000001,-7.34300000000007,533.56,554.724,542.929,534.613,546.677,528.897,1.05300000000011,-8.04700000000003,-14.0319999999999,537,567.312,571,555.929,543.786,523.714,594.214,545.133,545.867,605.2,611.643,541.133,57.2140000000001,-22.179,-25.133,49.2710000000001,67.8570000000001,17.419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,4,2,6,1,0,2,0,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,2,21,2,3,3,2,2,1,2,1,"Ob die Blickrichtung der Gesichter beeinflusst wie schnell man auf die Stimuli reagiert","Ein Finger F & einer E",""
"44",21,1,"1",3,384,97.4,89.3,480.487,480.394,486.514,6.12,461.698,499.536,468.678,504.558,6.98000000000002,5.02199999999999,501.923,493.867,503.393,517.867,485.407,508.621,15.944,-8.46000000000004,5.22800000000001,467.8,466.533,477.533,450.462,439.533,467.615,465.625,480.438,473.357,455.071,445.077,489.571,-2.17500000000001,13.905,-4.17599999999999,4.60900000000004,5.54399999999998,21.956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,21,3,3,2,2,2,2,2,2,"Attraktivität, Blickrichtungen auf RT","0",""
"45",31,1,"1",9,384,98.4,91.1,516.997,527.088,522.335,-4.75299999999993,516.738,537.08,529.11,515.33,12.372,-21.75,534.667,522.241,555.036,507.645,517.862,521.214,-27.022,-4.37900000000002,-33.8219999999999,516.533,521.786,540.8,523,514.5,474.917,518.438,563.938,464.933,551.562,538.769,535.2,1.90499999999997,42.152,-75.867,28.562,24.269,60.2830000000001,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,3,4,2,9,1,0,3,1,1,3,2,1,3,0,1,2,1,0,3,3,1,1,2,2,31,3,3,2,3,2,3,1,4,"Vielleicht ob Menschen mit sozialer Angst weniger auf die Augen schauen und daher schlechtere Ergebnisse erzielen","0",""
"46",19,1,"1",1,384,98.4,64.3,314.868,359.798,369.141,9.34300000000002,346.833,372.983,364.262,373.582,17.429,0.59899999999999,379.333,362.556,376.174,420.286,338.2,369,40.953,-24.356,-7.17399999999998,334.1,288.111,352.222,417.25,315.889,350.545,366.9,436,401,314,317.75,336.091,32.8,147.889,48.778,-103.25,1.86099999999999,-14.454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,4,4,4,3,4,"Konzentriert man sich mehr auf attraktive Gesichter als auf unattraktive?","schnelles Zurückkehren zum + in der Mitte, zügigees Bearbeiten der Aufgabe",""
"47",22,1,"1",4,384,98.2,93.8,497.005,501.48,497.661,-3.81900000000002,499.778,503.241,497.571,497.75,-2.20699999999999,-5.49099999999999,500.567,501.185,507.767,514.871,489.793,488.375,14.304,-11.392,-19.392,517.8,529.125,520.267,456.533,486.2,485.857,485.2,503.5,490.562,474.533,499.812,532.533,-32.6,-25.625,-29.705,18,13.612,46.676,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,8,4,3,4,4,3,1,2,2,"ob Blickrichtung der Person meine Blickrichtung ""lenkt"", sollte demnach leichter sein Buchstaben zu erkennen wenn Person hinschaut","0",""
"48",22,1,"1",6,384,95.1,91.1,551.022,559.972,545.782,-14.1899999999999,567.596,552.172,559.33,531.919,-8.26599999999996,-20.253,556.367,557.129,541.423,559.346,518.258,521.931,2.97900000000004,-38.871,-19.492,586.538,562.188,607.143,514.25,572.571,572,584.214,534.077,580.4,523.2,565.125,566.867,-2.32399999999996,-28.111,-26.7430000000001,8.95000000000005,-7.44600000000003,-5.13300000000004,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,6,2,0,1,1,0,0,0,1,0,0,1,1,1,1,2,1,1,0,1,1,15,3,4,4,3,2,3,3,4,"inwiefern die Blickrichtung der angezeigten Gesichter beeinflusst, in welcher Richtung man den Buchstaben vermutet","0",""
"49",19,1,"1",1,384,97.4,90.6,515.816,524.301,512.229,-12.072,527.756,520.885,520.845,504.275,-6.91099999999994,-16.61,518.333,519.793,524.75,503.419,523.355,484.793,-14.914,3.56200000000001,-39.957,512.538,545.533,576.143,517.929,498.5,515.312,506.714,513.385,495.429,552.538,512.643,542.938,-5.82400000000001,-32.148,-80.7140000000001,34.609,14.143,27.626,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1,0,2,1,0,0,2,0,0,0,1,3,1,1,0,1,2,1,17,3,2,4,4,2,1,5,4,"ob die Blickrichtung der Gesichter Reaktionszeit verkürzt","keinen Finger stärker als den anderen auf den Tasten ruhen zu lassen",""
"50",23,2,"Physik",9,384,96.4,89.6,506.138,518.262,504.878,-13.384,513.058,523.465,502.659,507.046,-10.399,-16.419,518.533,546.607,505.607,498.148,523.103,499.774,-20.385,-23.504,-5.83300000000003,499.533,531.923,539.125,510.214,503.133,492.231,500.286,487.857,482.867,431.167,552.071,546.625,0.752999999999986,-44.066,-56.258,-79.047,48.938,54.394,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,2,4,4,10,2,1,2,0,0,1,1,1,4,0,1,1,1,1,1,1,0,1,1,3,23,2,4,4,3,2,2,2,2,"Dem Blick der Personen zu folgen/vertrauen bzw. Reflex in Situationen in denen schnell gehandelt werden muss","zwar in die Mitte schauen, aber Distanz zum Bildschirm erhöhen","Wie soll das denn gehen mit den Fingern?"
"51",20,1,"1",1,384,97.7,86.7,492.787,499.523,492.696,-6.827,514.563,484.129,497.988,487.337,-16.575,3.20799999999997,496,460.821,495.077,480.71,486.519,497.682,-15.29,25.698,2.60500000000002,471.429,548,499,508.462,509.333,547.467,520.929,491.429,476.143,510.167,521.077,471.571,49.5,-56.571,-22.857,1.70499999999998,11.744,-75.896,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,6,2,1,1,0,1,1,0,0,0,1,2,1,0,1,2,1,1,1,1,1,18,4,3,3,3,3,3,4,3,"vielleicht , ob man den Vorhersagen von Personen, die einem vertrauter oder attraktiver vorkommen, eher traut","Bei den drei Gesichtern habe ich versucht, gar nicht auf die Blickrichtungen zu achten, weil sie meist nur verwirrt haben und mich langsamer reagieren lassen haben. ",""
"52",23,2,"1",5,384,99.5,94.8,521.675,528.687,521.184,-7.50300000000004,529.956,527.375,534.312,507.022,4.35599999999999,-20.353,517.379,530.733,533.897,512.033,493.5,515.828,-5.346,-37.2329999999999,-18.0690000000001,538.188,523.786,497.562,518.571,544.133,556.188,538.188,570.938,529.875,499.125,525.25,542.5,0,47.152,32.313,-19.446,-18.883,-13.688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,1,0,2,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,21,4,3,3,3,2,3,2,2,"Blickrichtung Zielobjekt kongruent, inkongruent; Reaktionszeiten","peripheres sehen",""
"53",21,2,"1",4,384,98.4,86.7,493.68,504.593,503.572,-1.02100000000002,492.221,517.728,508.759,498.386,16.538,-19.3419999999999,528.222,530.222,494.741,537.24,476.556,486.065,9.01800000000003,-53.666,-8.67599999999999,514.062,510.154,479.769,489.625,473.933,484.154,492.312,509.417,524.5,468.846,527.25,530.25,-21.75,-0.737000000000023,44.731,-20.779,53.317,46.096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,1,0,1,0,1,0,1,2,0,1,1,2,1,1,1,1,16,4,3,4,4,3,4,2,3,"Vorhersage des Reizese über Blickrichtung des Gesichts 1 vs 3 korrekt vs inkorrekt --> RT","auf Blickrichtung achten, aber noch Mitte fixiert halten, breites Blickfeld",""
"54",19,1,"1",1,384,97.1,89.6,491.756,494.835,498.402,3.56700000000001,477.864,513.049,487.216,509.849,9.35200000000003,-3.19999999999999,501,543.667,494.926,488.815,510.367,528.897,-12.185,-33.3,33.9710000000001,532.467,478.062,445.929,471.6,484.692,453.2,501.562,499.357,491.846,450.143,495.438,482.4,-30.905,21.295,45.917,-21.4570000000001,10.746,29.2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,3,7,10,1,2,1,1,2,0,0,1,2,0,3,0,1,0,1,2,1,1,2,1,22,4,3,3,2,3,3,3,4,"Ob und wie stark die Aufmerksamkeit der VP darauf gerichtet wurde, wo die Gesichter hingeschaut haben.","0",""
"55",21,2,"1",4,384,97.9,95.3,529.457,523.514,538.632,15.1179999999999,525.828,521.372,551.553,525.286,25.725,3.91399999999999,517.062,518.548,528.645,516.967,544.467,514.774,-0.0950000000000273,25.919,-13.871,519.5,535,529.933,518.5,498.714,557.923,567.875,558.667,583.062,519.333,515.062,563.75,48.375,23.667,53.129,0.83299999999997,16.348,5.827,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,6,1,1,1,0,1,1,0,1,0,0,1,1,0,2,1,0,0,0,1,2,14,4,3,3,3,2,2,3,2,"ich hatte manchmal das Gefühl, dass die Blickrichtung manipuliert wuede. Vielleicht auch der Zusammenhang von Attraktivität der Gesichter und Abgelenktheit","manchmal habe ich mir einen der beiden Buchstaben vorgesagt",""
"56",20,2,"1",4,384,96.9,89.8,511.108,525.006,507.783,-17.223,534.115,515.458,514.865,500.453,-19.25,-15.005,522.522,516.933,508.567,500.379,495.586,505.571,-22.143,-21.347,-2.99599999999998,513.786,547.214,515.357,558.688,513.429,551.467,508.467,512.929,537.125,488.357,510.133,528.8,-5.31899999999996,-34.2850000000001,21.768,-70.331,-3.29599999999999,-22.667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,5,4,11,1,0,1,0,1,1,0,1,2,1,2,1,0,0,0,1,0,1,1,1,15,1,1,3,4,2,4,3,4,"0","nicht auf die Bilder geschaut, sondern ein wenig die Augen zusammengekniffen um die Buchstaben schneller zu erkennen",""
"57",23,1,"1",11,384,99.2,96.1,546.496,552.537,545.365,-7.17200000000003,550.989,554.118,538.393,552.109,-12.596,-2.00900000000001,557.312,533.533,570.742,515.419,567.969,573.828,-41.893,34.436,3.08600000000001,543.8,541.875,567.938,546.125,553.875,551.875,494.867,523.071,572.533,532.4,548.533,557.933,-48.9329999999999,-18.804,4.59500000000003,-13.725,-5.34199999999998,6.05799999999999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,2,6,1,0,1,0,2,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,9,4,3,4,4,3,4,3,1,"Einfluss von Gesichtscues auf die Reaktionsgeschwindigkeiten in Abhängigkeit von der Salienz/Position des/der Gesichter","versucht, die bilder völlig zu ignorieren",""
"58",21,1,"1",3,384,93.8,83.6,491.522,496.382,494.189,-2.19299999999998,479.74,512.4,478.036,511.15,-1.70400000000001,-1.25,503.167,521.643,511.071,499.885,507.269,525.214,-3.28199999999998,-14.374,14.143,484.583,452.077,494,491.583,503.467,447.917,472.769,503.929,483.2,452.429,458.929,496.214,-11.814,51.852,-10.8,-39.1540000000001,-44.538,48.297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0,1,1,2,0,1,0,0,0,1,1,0,2,1,0,15,3,2,3,2,3,2,2,2,"wie schnell man die richtige Taste gedrückt hat, in Abhängigkeit von der Blickrichtung der Gesichter","0",""
"59",20,2,"Medizin",3,384,97.9,90.4,515.388,519.439,525.062,5.62300000000005,508.046,531.238,533.14,517.344,25.094,-13.894,552.586,500.88,535.9,507.767,538.033,506.233,-44.819,37.153,-29.667,532.308,486.562,525.867,518.357,489.929,499.4,533,574.267,517.875,532.6,505.8,537.083,0.692000000000007,87.705,-7.99199999999996,14.2430000000001,15.871,37.683,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,4,7,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,1,1,2,2,0,13,3,4,3,2,3,1,2,1,"Einfluss der Gesichter (bzw Blickrichtungen) auf Erkennen des Buchstabens","möglichst hohe Konzentration, um die Zeitdauer zu verkürzen",""
"60",21,2,"1",2,384,97.7,93.8,557.64,562.853,559.809,-3.04399999999998,546.659,578.865,555.761,563.901,9.10199999999998,-14.9640000000001,582.633,565.161,590,561.355,557.1,573.333,-21.278,-8.06099999999992,-16.667,579.8,558.062,570.846,548.846,525.125,501.467,538.625,574.867,554.188,582.688,515.786,565.2,-41.175,16.8049999999999,-16.658,33.842,-9.33900000000006,63.7330000000001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,1,1,1,2,0,1,2,0,2,1,0,2,2,0,0,0,1,0,17,3,3,4,4,2,3,2,3,"Das Verhältnis zwischen wahrgenommener Attraktivität und Vertrautheit. ","Durch meine periphere Sicht auf den unteren Strich aufzupassen - den Unterschied zwischen ""E"" und ""F"", während meine Augen auf das Kreut aber nicht die Gesichter fixiert wurden.",""
"61",23,1,"1",7,384,99.2,88.3,469.68,480.283,474.892,-5.39100000000002,498.432,464.304,494.568,456.141,-3.86400000000003,-8.16299999999995,476,457.065,460.226,453.267,474.2,437.92,-22.733,17.135,-22.306,520.429,483.867,492,490.833,511.923,492,502.867,490.857,509.714,486.786,488.583,485.917,-17.562,6.99000000000001,17.714,-4.04700000000003,-23.34,-6.08300000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,8,3,2,2,3,2,2,3,3,"inwiefern RT durch Blickrichtung & Position (rechts/links) des Buchstabens beeinflusst wurde","0",""
"62",18,1,"1",1,384,98.4,95.6,510.132,514.054,511.169,-2.88499999999999,505.533,522.213,504.691,518.011,-0.842000000000041,-4.202,510.812,537.4,519.375,532.034,498.7,523.767,21.222,-38.7,4.39200000000005,507.429,529.6,517.667,513.562,481.2,483.333,488.438,522.438,538.188,492.133,503,483.062,-18.991,-7.16200000000003,20.521,-21.429,21.8,-0.271000000000015,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,4,6,3,13,0,1,1,1,3,0,1,0,1,1,2,3,1,0,2,1,2,3,2,0,25,3,2,4,4,4,2,4,3,"Obdie Blickrichtung der Frauen etwas mit unserer Reaktionszeit zu tun hat, also was wie unsere Aufmerksamkeit beeinflusst.","Ich habe versucht, mich zu konzentrieren und teils abzuschätzen, welcher Buschstabe als nächstes kommen könnte (es hat nicht immer geklappt)",""
"63",22,1,"1",2,384,97.7,88.8,533.416,541.971,532.196,-9.77499999999998,529.239,555.153,534.329,530.012,5.08999999999992,-25.1410000000001,529.276,565.926,571,541.143,518.586,530.769,11.8670000000001,-47.34,-40.231,538.933,541.429,526.733,491.5,545.75,528.214,558.438,509,545.812,540.333,564.3,491.143,19.505,-32.429,19.0790000000001,48.833,18.55,-37.0710000000001,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,1,0,1,0,2,0,0,1,1,1,3,4,1,4,3,0,1,2,1,1,27,4,4,1,2,4,4,3,5,"Ob man schneller auf den Zielreiz reagieren kann und weniger Fehler macht, wenn die Blickrichtung der Gesichter diesen vorhersagen.","0",""
"64",21,1,"1",3,384,97.7,91.1,521.848,524.079,522.584,-1.495,527.359,520.529,512.391,532.895,-14.9680000000001,12.366,518.621,516.962,525.467,537.75,540.333,520.071,19.129,23.371,-5.39599999999996,507.667,511,562.6,523.875,520.067,540.267,523.692,494.8,506.188,527.857,519.067,505.214,16.025,-16.2,-56.412,3.98199999999997,-1,-35.0530000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1,1,1,3,14,2,1,4,4,2,2,3,4,"0","0",""
"65",20,1,"Medienkommunikation",5,384,97.9,94,501.963,511.17,501.274,-9.89600000000002,519.944,502.587,509.149,493.826,-10.795,-8.76099999999997,513.103,505.419,490.312,491.812,503.375,485.214,-21.2909999999999,-2.04399999999998,-5.09800000000001,486.6,540.333,526.688,532.267,514.714,518.267,508.133,523.643,556.938,483.273,460.067,513.438,21.533,-16.6899999999999,30.25,-48.994,-54.647,-4.82900000000006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,0,1,1,0,0,0,0,0,1,1,2,0,3,1,0,1,1,1,2,16,4,3,2,4,2,1,4,3,"Reaktionsgeschwindigkeit nach verschiedenen Gesichtsausdrücken","geschaut (aus dem Augenwinkel), ob der unterste Strich vorhanden ist, wenn ja E, wenn nicht F",""
