experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,38,2018-01-23_14:02,1,1,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.5662905154749751
mGCP-III,38,2018-01-23_14:02,1,2,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.7447128931526095
mGCP-III,38,2018-01-23_14:02,1,3,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.5612522973679006
mGCP-III,38,2018-01-23_14:02,1,4,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.6010946361348033
mGCP-III,38,2018-01-23_14:02,1,5,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.6039777945261449
mGCP-III,38,2018-01-23_14:02,1,6,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.4087451584637165
mGCP-III,38,2018-01-23_14:02,1,7,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.47175903455354273
mGCP-III,38,2018-01-23_14:02,1,8,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.6019732528366148
mGCP-III,38,2018-01-23_14:02,1,9,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.435788297560066
mGCP-III,38,2018-01-23_14:02,1,10,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.6325873520690948
mGCP-III,38,2018-01-23_14:02,1,11,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,99,99
mGCP-III,38,2018-01-23_14:02,1,12,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.7692082810681313
mGCP-III,38,2018-01-23_14:02,1,13,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.7096768713090569
mGCP-III,38,2018-01-23_14:02,1,14,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.4602224512491375
mGCP-III,38,2018-01-23_14:03,1,15,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.5527817856054753
mGCP-III,38,2018-01-23_14:03,1,16,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.4388919002376497
mGCP-III,38,2018-01-23_14:03,1,17,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.5461542352568358
mGCP-III,38,2018-01-23_14:03,1,18,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.6349269056227058
mGCP-III,38,2018-01-23_14:03,1,19,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.6575145421084017
mGCP-III,38,2018-01-23_14:03,1,20,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,99,99
mGCP-III,38,2018-01-23_14:03,1,21,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.395461218431592
mGCP-III,38,2018-01-23_14:03,1,22,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.593247531214729
mGCP-III,38,2018-01-23_14:03,1,23,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5024703189264983
mGCP-III,38,2018-01-23_14:03,1,24,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.3788828612305224
mGCP-III,38,2018-01-23_14:03,1,25,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5519671686924994
mGCP-III,38,2018-01-23_14:03,1,26,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4188239653594792
mGCP-III,38,2018-01-23_14:03,1,27,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.4509961868170649
mGCP-III,38,2018-01-23_14:03,1,28,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5415715228300542
mGCP-III,38,2018-01-23_14:03,1,29,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.43346849689260125
mGCP-III,38,2018-01-23_14:03,1,30,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.4708144429605454
mGCP-III,38,2018-01-23_14:03,1,31,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5060475999489427
mGCP-III,38,2018-01-23_14:03,1,32,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.6125462814234197
