experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,32,2018-01-22_12:05,1,1,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.5400797708425671
mGCP-III,32,2018-01-22_12:05,1,2,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,incorrect,0.4262799595016986
mGCP-III,32,2018-01-22_12:05,1,3,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,incorrect,0.39058537036180496
mGCP-III,32,2018-01-22_12:05,1,4,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.5149420129600912
mGCP-III,32,2018-01-22_12:05,1,5,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.6619609585031867
mGCP-III,32,2018-01-22_12:05,1,6,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,incorrect,0.3521344377659261
mGCP-III,32,2018-01-22_12:05,1,7,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4460077465046197
mGCP-III,32,2018-01-22_12:05,1,8,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,incorrect,0.35912979021668434
mGCP-III,32,2018-01-22_12:05,1,9,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4906137357465923
mGCP-III,32,2018-01-22_12:05,1,10,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4500330272130668
mGCP-III,32,2018-01-22_12:05,1,11,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4122612050268799
mGCP-III,32,2018-01-22_12:05,1,12,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,99,99
mGCP-III,32,2018-01-22_12:05,1,13,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,incorrect,0.40401548333466053
mGCP-III,32,2018-01-22_12:05,1,14,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.3958092676475644
mGCP-III,32,2018-01-22_12:05,1,15,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,incorrect,0.14268117118626833
mGCP-III,32,2018-01-22_12:05,1,16,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.4591794889420271
mGCP-III,32,2018-01-22_12:05,1,17,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,incorrect,0.5020689365919679
mGCP-III,32,2018-01-22_12:05,1,18,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.5047178233508021
mGCP-III,32,2018-01-22_12:05,1,19,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.4953445962164551
mGCP-III,32,2018-01-22_12:05,1,20,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.3435521237552166
mGCP-III,32,2018-01-22_12:05,1,21,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,incorrect,0.4085792328696698
mGCP-III,32,2018-01-22_12:05,1,22,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.4656197801232338
mGCP-III,32,2018-01-22_12:05,1,23,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,incorrect,0.3592945309355855
mGCP-III,32,2018-01-22_12:05,1,24,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.44589633913710713
mGCP-III,32,2018-01-22_12:06,1,25,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.33895281865261495
mGCP-III,32,2018-01-22_12:06,1,26,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.5814478369429708
mGCP-III,32,2018-01-22_12:06,1,27,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,incorrect,0.5591138298623264
mGCP-III,32,2018-01-22_12:06,1,28,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5954172087367624
mGCP-III,32,2018-01-22_12:06,1,29,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.33193415752612054
mGCP-III,32,2018-01-22_12:06,1,30,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,incorrect,0.3967842790298164
mGCP-III,32,2018-01-22_12:06,1,31,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.48319606273435056
mGCP-III,32,2018-01-22_12:06,1,32,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.5099820166360587
mGCP-III,32,2018-01-22_12:06,1,33,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,incorrect,0.542672558920458
mGCP-III,32,2018-01-22_12:06,1,34,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.47262816969305277
mGCP-III,32,2018-01-22_12:06,1,35,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.48621907248161733
mGCP-III,32,2018-01-22_12:06,1,36,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.3705008430406451
mGCP-III,32,2018-01-22_12:06,1,37,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.3665656363591552
mGCP-III,32,2018-01-22_12:06,1,38,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.3676599564496428
mGCP-III,32,2018-01-22_12:06,1,39,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.46280615287832916
mGCP-III,32,2018-01-22_12:06,1,40,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.35286530130542815
