experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,65,2018-02-01_13:02,1,1,26_Caucasian_female_neutral_left.jpg,37_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_left,cue_3,200ms,99,99
mGCP-III,65,2018-02-01_13:02,1,2,61_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,37_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_left,cue_3,500ms,correct,0.37467866654333193
mGCP-III,65,2018-02-01_13:02,1,3,26_Caucasian_female_neutral_right.jpg,61_Caucasian_female_neutral_right.jpg,37_Caucasian_female_neutral_right.jpg,cue_right,target_F,target_right,cue_3,200ms,correct,0.5565193309739698
mGCP-III,65,2018-02-01_13:02,1,4,26_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,37_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_right,cue_3,500ms,correct,0.5807923282118281
mGCP-III,65,2018-02-01_13:02,1,5,37_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_left,cue_3,200ms,correct,0.5520041686977493
mGCP-III,65,2018-02-01_13:02,1,6,61_Caucasian_female_neutral_right.jpg,26_Caucasian_female_neutral_right.jpg,37_Caucasian_female_neutral_right.jpg,cue_right,target_F,target_left,cue_3,200ms,correct,0.5464254998223623
mGCP-III,65,2018-02-01_13:02,1,7,61_Caucasian_female_neutral_left.jpg,37_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_left,cue_3,200ms,99,99
mGCP-III,65,2018-02-01_13:02,1,8,37_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,cue_left,target_E,target_right,cue_3,500ms,correct,0.6319465212582145
mGCP-III,65,2018-02-01_13:02,1,9,37_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,cue_left,target_F,target_left,cue_3,500ms,correct,0.46455445513129234
mGCP-III,65,2018-02-01_13:02,1,10,37_Caucasian_female_neutral_left.jpg,26_Caucasian_female_neutral_left.jpg,61_Caucasian_female_neutral_left.jpg,cue_left,target_F,target_right,cue_3,200ms,correct,0.5408405099587981
mGCP-III,65,2018-02-01_13:02,1,11,61_Caucasian_female_neutral_right.jpg,26_Caucasian_female_neutral_right.jpg,37_Caucasian_female_neutral_right.jpg,cue_right,target_E,target_left,cue_3,200ms,correct,0.39346978506364394
