experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,52,2018-01-29_11:05,1,1,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,99,99
mGCP-III,52,2018-01-29_11:05,1,2,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,incorrect,0.36683546323911287
mGCP-III,52,2018-01-29_11:05,1,3,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.33092951630533207
mGCP-III,52,2018-01-29_11:05,1,4,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,incorrect,0.5386322657723213
mGCP-III,52,2018-01-29_11:05,1,5,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,99,99
mGCP-III,52,2018-01-29_11:05,1,6,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.5158542096905876
mGCP-III,52,2018-01-29_11:05,1,7,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.573044090429903
mGCP-III,52,2018-01-29_11:05,1,8,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4824960138212191
mGCP-III,52,2018-01-29_11:05,1,9,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.5368422424944583
mGCP-III,52,2018-01-29_11:06,1,10,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5546982283849502
mGCP-III,52,2018-01-29_11:06,1,11,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.44295984753989615
mGCP-III,52,2018-01-29_11:06,1,12,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.5687106617551763
mGCP-III,52,2018-01-29_11:06,1,13,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5236539072357118
mGCP-III,52,2018-01-29_11:06,1,14,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5616686920111533
mGCP-III,52,2018-01-29_11:06,1,15,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.4578714406961808
mGCP-III,52,2018-01-29_11:06,1,16,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.4596989948040573
mGCP-III,52,2018-01-29_11:06,1,17,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.4533562837605132
mGCP-III,52,2018-01-29_11:06,1,18,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.40709656722901855
mGCP-III,52,2018-01-29_11:06,1,19,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.6329488332266919
mGCP-III,52,2018-01-29_11:06,1,20,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.507658265545615
mGCP-III,52,2018-01-29_11:06,1,21,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.46949572781159077
mGCP-III,52,2018-01-29_11:06,1,22,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.3796575765591115
mGCP-III,52,2018-01-29_11:06,1,23,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.40070684388047084
mGCP-III,52,2018-01-29_11:06,1,24,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.4944991648371797
mGCP-III,52,2018-01-29_11:06,1,25,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.44999510124034714
mGCP-III,52,2018-01-29_11:06,1,26,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.6871401978132781
mGCP-III,52,2018-01-29_11:06,1,27,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.48925274923385587
mGCP-III,52,2018-01-29_11:06,1,28,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.4261887002940057
mGCP-III,52,2018-01-29_11:06,1,29,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5123997926712036
mGCP-III,52,2018-01-29_11:06,1,30,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.478231325847446
mGCP-III,52,2018-01-29_11:06,1,31,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5179207759501878
mGCP-III,52,2018-01-29_11:06,1,32,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.5257038809213554
mGCP-III,52,2018-01-29_11:06,1,33,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.46291716510313563
mGCP-III,52,2018-01-29_11:06,1,34,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.5149669017555425
mGCP-III,52,2018-01-29_11:06,1,35,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.5318285180692328
mGCP-III,52,2018-01-29_11:06,1,36,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5836795388167957
mGCP-III,52,2018-01-29_11:06,1,37,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.5720370788912987
mGCP-III,52,2018-01-29_11:06,1,38,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.6496496595354984
mGCP-III,52,2018-01-29_11:06,1,39,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.49530350988788996
