experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,64,2018-02-01_09:50,1,1,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,99,99
mGCP-III,64,2018-02-01_09:50,1,2,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5623962715617381
mGCP-III,64,2018-02-01_09:50,1,3,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.47660542285302654
mGCP-III,64,2018-02-01_09:50,1,4,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.5453714747127378
mGCP-III,64,2018-02-01_09:50,1,5,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.40368569034762913
mGCP-III,64,2018-02-01_09:50,1,6,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.5330976920886314
mGCP-III,64,2018-02-01_09:50,1,7,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.5675364217386232
mGCP-III,64,2018-02-01_09:50,1,8,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.6068348076441907
mGCP-III,64,2018-02-01_09:50,1,9,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.5065807433420559
mGCP-III,64,2018-02-01_09:50,1,10,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.5005627656573779
mGCP-III,64,2018-02-01_09:50,1,11,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.5570933558919933
mGCP-III,64,2018-02-01_09:50,1,12,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.45492087108141277
mGCP-III,64,2018-02-01_09:50,1,13,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4237880192740704
mGCP-III,64,2018-02-01_09:51,1,14,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5506064397486625
mGCP-III,64,2018-02-01_09:51,1,15,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.45375425333622843
mGCP-III,64,2018-02-01_09:51,1,16,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,incorrect,0.6738617970841005
mGCP-III,64,2018-02-01_09:51,1,17,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,incorrect,0.5117374861220014
mGCP-III,64,2018-02-01_09:51,1,18,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.5200610449610394
mGCP-III,64,2018-02-01_09:51,1,19,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.3796469648004859
mGCP-III,64,2018-02-01_09:51,1,20,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.5779664505535038
mGCP-III,64,2018-02-01_09:51,1,21,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,incorrect,0.4585226502822479
mGCP-III,64,2018-02-01_09:51,1,22,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,99,99
mGCP-III,64,2018-02-01_09:51,1,23,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.4576614153702394
mGCP-III,64,2018-02-01_09:51,1,24,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.44082624822476646
