experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,56,2018-01-29_15:04,1,1,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5651610349304974
mGCP-III,56,2018-01-29_15:04,1,2,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.33674640060053207
mGCP-III,56,2018-01-29_15:04,1,3,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,incorrect,0.44787283131154254
mGCP-III,56,2018-01-29_15:04,1,4,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.5735924356704345
mGCP-III,56,2018-01-29_15:04,1,5,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,99,99
mGCP-III,56,2018-01-29_15:04,1,6,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.4175040651753079
mGCP-III,56,2018-01-29_15:04,1,7,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.44075579989294056
mGCP-III,56,2018-01-29_15:04,1,8,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.4300294873828534
mGCP-III,56,2018-01-29_15:04,1,9,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.4755109329416882
mGCP-III,56,2018-01-29_15:04,1,10,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.45323104929411784
mGCP-III,56,2018-01-29_15:04,1,11,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.5850085254205624
mGCP-III,56,2018-01-29_15:04,1,12,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,incorrect,0.4337359536002623
mGCP-III,56,2018-01-29_15:04,1,13,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.4306540794786997
mGCP-III,56,2018-01-29_15:04,1,14,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.39390704678953625
mGCP-III,56,2018-01-29_15:04,1,15,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.5233291667536832
mGCP-III,56,2018-01-29_15:04,1,16,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.43693042021186557
mGCP-III,56,2018-01-29_15:04,1,17,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.5381506858975627
mGCP-III,56,2018-01-29_15:04,1,18,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4341993606358301
mGCP-III,56,2018-01-29_15:04,1,19,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.4809663360210834
mGCP-III,56,2018-01-29_15:05,1,20,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.6054252994072158
mGCP-III,56,2018-01-29_15:05,1,21,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.42377724540710915
mGCP-III,56,2018-01-29_15:05,1,22,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.44091184916032944
mGCP-III,56,2018-01-29_15:05,1,23,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.4721410590427695
mGCP-III,56,2018-01-29_15:05,1,24,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.4347042491135653
mGCP-III,56,2018-01-29_15:05,1,25,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.517816874809796
mGCP-III,56,2018-01-29_15:05,1,26,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4619259560131468
mGCP-III,56,2018-01-29_15:05,1,27,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,incorrect,0.47872910322621465
mGCP-III,56,2018-01-29_15:05,1,28,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5054091809142847
mGCP-III,56,2018-01-29_15:05,1,29,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.523426351865055
mGCP-III,56,2018-01-29_15:05,1,30,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.48330826009623706
mGCP-III,56,2018-01-29_15:05,1,31,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.4740733044309309
mGCP-III,56,2018-01-29_15:05,1,32,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.4233924555883277
mGCP-III,56,2018-01-29_15:05,1,33,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.7609447814757004
