experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,54,2018-01-29_12:01,1,1,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,incorrect,0.4791443127760431
mGCP-III,54,2018-01-29_12:01,1,2,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.7139111396390945
mGCP-III,54,2018-01-29_12:01,1,3,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.718947777611902
mGCP-III,54,2018-01-29_12:01,1,4,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,99,99
mGCP-III,54,2018-01-29_12:01,1,5,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.5204381073126569
mGCP-III,54,2018-01-29_12:01,1,6,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.5727252758661052
mGCP-III,54,2018-01-29_12:01,1,7,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.36912879477313254
mGCP-III,54,2018-01-29_12:01,1,8,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,99,99
mGCP-III,54,2018-01-29_12:01,1,9,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4607545989128994
mGCP-III,54,2018-01-29_12:01,1,10,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.543936755406321
mGCP-III,54,2018-01-29_12:01,1,11,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.45225445748656057
mGCP-III,54,2018-01-29_12:01,1,12,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4497031508508371
mGCP-III,54,2018-01-29_12:01,1,13,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.4698323201300809
mGCP-III,54,2018-01-29_12:01,1,14,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5437585827021394
mGCP-III,54,2018-01-29_12:01,1,15,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.6146480081806658
mGCP-III,54,2018-01-29_12:01,1,16,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.42433309683110565
mGCP-III,54,2018-01-29_12:01,1,17,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.3777802447148133
mGCP-III,54,2018-01-29_12:01,1,18,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5683981681795558
mGCP-III,54,2018-01-29_12:01,1,19,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.6352852264390094
mGCP-III,54,2018-01-29_12:01,1,20,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.5112205343466485
mGCP-III,54,2018-01-29_12:02,1,21,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.4525009757926455
mGCP-III,54,2018-01-29_12:02,1,22,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.6624417481943965
mGCP-III,54,2018-01-29_12:02,1,23,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.5422071765206056
mGCP-III,54,2018-01-29_12:02,1,24,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.554179117680178
mGCP-III,54,2018-01-29_12:02,1,25,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,99,99
mGCP-III,54,2018-01-29_12:02,1,26,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.3660018836526433
mGCP-III,54,2018-01-29_12:02,1,27,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,incorrect,0.29639719791885
mGCP-III,54,2018-01-29_12:02,1,28,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.3913521846116055
mGCP-III,54,2018-01-29_12:02,1,29,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.4879032194294268
mGCP-III,54,2018-01-29_12:02,1,30,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.5080063146742759
mGCP-III,54,2018-01-29_12:02,1,31,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.7572517473599873
mGCP-III,54,2018-01-29_12:02,1,32,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.5210824524838245
mGCP-III,54,2018-01-29_12:02,1,33,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.7678706031583715
mGCP-III,54,2018-01-29_12:02,1,34,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.5408284121804172
mGCP-III,54,2018-01-29_12:02,1,35,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.608003470217227
mGCP-III,54,2018-01-29_12:02,1,36,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.3674039566249121
mGCP-III,54,2018-01-29_12:02,1,37,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,correct,0.46319686858623754
mGCP-III,54,2018-01-29_12:02,1,38,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.40016600480885245
