experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,28,2018-01-18_16:03,1,1,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,99,99
mGCP-III,28,2018-01-18_16:03,1,2,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.4769051047042012
mGCP-III,28,2018-01-18_16:03,1,3,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5843554888851941
mGCP-III,28,2018-01-18_16:03,1,4,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.5606877545360476
mGCP-III,28,2018-01-18_16:03,1,5,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.507866857922636
mGCP-III,28,2018-01-18_16:03,1,6,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.583984526223503
mGCP-III,28,2018-01-18_16:03,1,7,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.4907496370142326
mGCP-III,28,2018-01-18_16:03,1,8,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.7493754079332575
mGCP-III,28,2018-01-18_16:03,1,9,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.6998840889427811
mGCP-III,28,2018-01-18_16:03,1,10,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5597874094964936
mGCP-III,28,2018-01-18_16:03,1,11,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.6351319426903501
mGCP-III,28,2018-01-18_16:03,1,12,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.3243225091136992
mGCP-III,28,2018-01-18_16:03,1,13,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.6115451958030462
mGCP-III,28,2018-01-18_16:03,1,14,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,99,99
mGCP-III,28,2018-01-18_16:03,1,15,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.4586240326752886
mGCP-III,28,2018-01-18_16:03,1,16,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,500ms,correct,0.3806393041741103
mGCP-III,28,2018-01-18_16:03,1,17,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.6153768964577466
mGCP-III,28,2018-01-18_16:03,1,18,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.6940533774904907
mGCP-III,28,2018-01-18_16:03,1,19,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,incorrect,0.41159829206299037
