experiment,subject,date,block,trial,face_left,face_top,face_right,cue_dir,target_id,target_pos,cue_num,isi,correct_response,rt
mGCP-III,36,2018-01-23_12:52,1,1,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,99,99
mGCP-III,36,2018-01-23_12:52,1,2,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_right,cue_1,200ms,correct,0.4674285046066302
mGCP-III,36,2018-01-23_12:52,1,3,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,incorrect,0.5275474894390015
mGCP-III,36,2018-01-23_12:52,1,4,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.3374202517573224
mGCP-III,36,2018-01-23_12:52,1,5,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.37458730815285435
mGCP-III,36,2018-01-23_12:53,1,6,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5765510043073618
mGCP-III,36,2018-01-23_12:53,1,7,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.41255594574531074
mGCP-III,36,2018-01-23_12:53,1,8,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,200ms,correct,0.4011346976411403
mGCP-III,36,2018-01-23_12:53,1,9,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,incorrect,0.2643436219381101
mGCP-III,36,2018-01-23_12:53,1,10,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,200ms,correct,0.679646435136533
mGCP-III,36,2018-01-23_12:53,1,11,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.74170122473231
mGCP-III,36,2018-01-23_12:53,1,12,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5975679181051987
mGCP-III,36,2018-01-23_12:53,1,13,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.5244478314443484
mGCP-III,36,2018-01-23_12:53,1,14,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,200ms,correct,0.7759373146911344
mGCP-III,36,2018-01-23_12:53,1,15,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,500ms,correct,0.5234751883162687
mGCP-III,36,2018-01-23_12:53,1,16,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,correct,0.5132944355094651
mGCP-III,36,2018-01-23_12:53,1,17,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,500ms,correct,0.583757728898064
mGCP-III,36,2018-01-23_12:53,1,18,99,26_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_right,cue_1,500ms,correct,0.5001206915010528
mGCP-III,36,2018-01-23_12:53,1,19,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,500ms,correct,0.5695710454175185
mGCP-III,36,2018-01-23_12:53,1,20,99,37_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_right,cue_1,200ms,correct,0.6649789609627135
mGCP-III,36,2018-01-23_12:53,1,21,99,26_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,correct,0.634361245662717
mGCP-III,36,2018-01-23_12:53,1,22,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_E,target_left,cue_1,200ms,99,99
mGCP-III,36,2018-01-23_12:53,1,23,99,37_Caucasian_female_neutral_left.jpg,99,cue_left,target_F,target_left,cue_1,200ms,incorrect,0.44303025346795266
mGCP-III,36,2018-01-23_12:53,1,24,99,61_Caucasian_female_neutral_left.jpg,99,cue_left,target_E,target_left,cue_1,500ms,correct,0.6195969812507656
mGCP-III,36,2018-01-23_12:53,1,25,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,200ms,correct,0.5733284819695541
mGCP-III,36,2018-01-23_12:53,1,26,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_right,cue_1,500ms,correct,0.6378622868491277
mGCP-III,36,2018-01-23_12:53,1,27,99,61_Caucasian_female_neutral_right.jpg,99,cue_right,target_F,target_left,cue_1,500ms,incorrect,0.49981807385844945
